datetime,stage_m
2020-10-07 00:00,7.19
2020-10-07 01:00,7.48
2020-10-07 02:00,7.82
2020-10-07 03:00,8.73
2020-10-07 04:00,9.62
2020-10-07 05:00,10.26
2020-10-07 06:00,10.84
2020-10-07 07:00,11.4
2020-10-07 08:00,11.41
2020-10-07 09:00,11.27
2020-10-07 10:00,10.77
2020-10-07 11:00,10.28
2020-10-07 12:00,10.1
2020-10-07 13:00,9.89
2020-10-07 14:00,9.7
2020-10-07 15:00,9.54
2020-10-07 16:00,9.56
2020-10-07 17:00,9.7
2020-10-07 18:00,9.94
2020-10-07 19:00,10.32
2020-10-07 20:00,10.87
2020-10-07 21:00,11.44
2020-10-07 22:00,11.55
2020-10-07 23:00,11.49
2020-10-08 00:00,11.32
2020-10-08 01:00,11
2020-10-08 02:00,10.75
2020-10-08 03:00,10.52
2020-10-08 04:00,10.32
2020-10-08 05:00,10.3
2020-10-08 06:00,10.37
2020-10-08 07:00,10.73
2020-10-08 08:00,11.18
2020-10-08 09:00,11.47
2020-10-08 10:00,11.54
2020-10-08 11:00,11.45
2020-10-08 12:00,11.34
2020-10-08 13:00,11.25
2020-10-08 14:00,11.55
2020-10-08 15:00,12
2020-10-08 16:00,12.2
2020-10-08 17:00,11.91
2020-10-08 18:00,11.8
2020-10-08 19:00,11.65
2020-10-08 20:00,11.7
2020-10-08 21:00,11.75
2020-10-08 22:00,11.68
2020-10-08 23:00,11.7
