datetime,stage_m
2020-10-07 00:00,6.47
2020-10-07 01:00,6.4
2020-10-07 02:00,6.32
2020-10-07 03:00,6.28
2020-10-07 04:00,6.32
2020-10-07 05:00,6.42
2020-10-07 06:00,6.57
2020-10-07 07:00,6.72
2020-10-07 08:00,6.91
2020-10-07 09:00,7.4
2020-10-07 10:00,7.95
2020-10-07 11:00,8.48
2020-10-07 12:00,8.77
2020-10-07 13:00,8.8
2020-10-07 14:00,8.77
2020-10-07 15:00,8.97
2020-10-07 16:00,9.12
2020-10-07 17:00,9
2020-10-07 18:00,8.75
2020-10-07 19:00,8.52
2020-10-07 20:00,8.37
2020-10-07 21:00,8.34
2020-10-07 22:00,8.45
2020-10-07 23:00,8.62
2020-10-08 00:00,8.8
2020-10-08 01:00,9.3
2020-10-08 02:00,10.21
2020-10-08 03:00,11
2020-10-08 04:00,11.32
2020-10-08 05:00,12.33
2020-10-08 06:00,12.85
2020-10-08 07:00,12.96
2020-10-08 08:00,13.22
2020-10-08 09:00,13.9
2020-10-08 10:00,14.55
2020-10-08 11:00,14.66
2020-10-08 12:00,14.23
2020-10-08 13:00,13.52
2020-10-08 14:00,12.45
2020-10-08 15:00,11.6
2020-10-08 16:00,11.03
2020-10-08 17:00,10.67
2020-10-08 18:00,10.44
2020-10-08 19:00,10.28
2020-10-08 20:00,10.05
2020-10-08 21:00,9.7
2020-10-08 22:00,9.4
2020-10-08 23:00,9.2
