datetime,stage_m
2020-10-07 00:00,0.02
2020-10-07 01:00,0.03
2020-10-07 02:00,0.04
2020-10-07 03:00,0.06
2020-10-07 04:00,0.09
2020-10-07 05:00,0.13
2020-10-07 06:00,0.17
2020-10-07 07:00,0.21
2020-10-07 08:00,0.23
2020-10-07 09:00,0.25
2020-10-07 10:00,0.29
2020-10-07 11:00,0.36
2020-10-07 12:00,0.46
2020-10-07 13:00,0.56
2020-10-07 14:00,0.66
2020-10-07 15:00,0.75
2020-10-07 16:00,0.82
2020-10-07 17:00,0.88
2020-10-07 18:00,0.94
2020-10-07 19:00,1.01
2020-10-07 20:00,1.09
2020-10-07 21:00,1.17
2020-10-07 22:00,1.22
2020-10-07 23:00,1.24
2020-10-08 00:00,1.3
2020-10-08 01:00,1.44
2020-10-08 02:00,1.49
2020-10-08 03:00,1.6
2020-10-08 04:00,1.75
2020-10-08 05:00,1.87
2020-10-08 06:00,2.25
2020-10-08 07:00,2.61
2020-10-08 08:00,2.81
2020-10-08 09:00,2.95
2020-10-08 10:00,3.07
2020-10-08 11:00,3.17
2020-10-08 12:00,3.22
2020-10-08 13:00,3.28
2020-10-08 14:00,3.3
2020-10-08 15:00,3.26
2020-10-08 16:00,3.22
2020-10-08 17:00,3.14
2020-10-08 18:00,3.06
2020-10-08 19:00,2.98
2020-10-08 20:00,2.91
2020-10-08 21:00,2.86
2020-10-08 22:00,2.85
2020-10-08 23:00,2.86
