datetime,stage_m
2024-09-07 00:00,14.5
2024-09-07 01:00,14.54
2024-09-07 02:00,14.58
2024-09-07 03:00,14.62
2024-09-07 04:00,14.67
2024-09-07 05:00,14.71
2024-09-07 06:00,14.75
2024-09-07 07:00,14.79
2024-09-07 08:00,14.83
2024-09-07 09:00,14.88
2024-09-07 10:00,14.92
2024-09-07 11:00,14.96
2024-09-07 12:00,15.0
2024-09-07 13:00,15.04
2024-09-07 14:00,15.08
2024-09-07 15:00,15.12
2024-09-07 16:00,15.17
2024-09-07 17:00,15.21
2024-09-07 18:00,15.25
2024-09-07 19:00,15.29
2024-09-07 20:00,15.33
2024-09-07 21:00,15.38
2024-09-07 22:00,15.42
2024-09-07 23:00,15.46
2024-09-08 00:00,15.5
2024-09-08 01:00,15.55
2024-09-08 02:00,15.59
2024-09-08 03:00,15.64
2024-09-08 04:00,15.68
2024-09-08 05:00,15.73
2024-09-08 06:00,15.78
2024-09-08 07:00,15.82
2024-09-08 08:00,15.87
2024-09-08 09:00,15.91
2024-09-08 10:00,15.96
2024-09-08 11:00,16.0
2024-09-08 12:00,16.05
2024-09-08 13:00,16.1
2024-09-08 14:00,16.14
2024-09-08 15:00,16.19
2024-09-08 16:00,16.23
2024-09-08 17:00,16.28
2024-09-08 18:00,16.33
2024-09-08 19:00,16.37
2024-09-08 20:00,16.42
2024-09-08 21:00,16.46
2024-09-08 22:00,16.51
2024-09-08 23:00,16.55
2024-09-09 00:00,16.6
2024-09-09 01:00,16.64
2024-09-09 02:00,16.68
2024-09-09 03:00,16.73
2024-09-09 04:00,16.77
2024-09-09 05:00,16.81
2024-09-09 06:00,16.85
2024-09-09 07:00,16.89
2024-09-09 08:00,16.93
2024-09-09 09:00,16.98
2024-09-09 10:00,17.02
2024-09-09 11:00,17.06
2024-09-09 12:00,17.1
2024-09-09 13:00,17.14
2024-09-09 14:00,17.18
2024-09-09 15:00,17.23
2024-09-09 16:00,17.27
2024-09-09 17:00,17.31
2024-09-09 18:00,17.35
2024-09-09 19:00,17.39
2024-09-09 20:00,17.43
2024-09-09 21:00,17.48
2024-09-09 22:00,17.52
2024-09-09 23:00,17.56
2024-09-10 00:00,17.6
2024-09-10 01:00,17.63
2024-09-10 02:00,17.66
2024-09-10 03:00,17.69
2024-09-10 04:00,17.72
2024-09-10 05:00,17.75
2024-09-10 06:00,17.79
2024-09-10 07:00,17.82
2024-09-10 08:00,17.85
2024-09-10 09:00,17.88
2024-09-10 10:00,17.91
2024-09-10 11:00,17.94
2024-09-10 12:00,17.97
2024-09-10 13:00,18.0
2024-09-10 14:00,18.03
2024-09-10 15:00,18.06
2024-09-10 16:00,18.09
2024-09-10 17:00,18.12
2024-09-10 18:00,18.16
2024-09-10 19:00,18.19
2024-09-10 20:00,18.22
2024-09-10 21:00,18.25
2024-09-10 22:00,18.28
2024-09-10 23:00,18.31
2024-09-11 00:00,18.34
2024-09-11 01:00,18.3
2024-09-11 02:00,18.26
2024-09-11 03:00,18.23
2024-09-11 04:00,18.19
2024-09-11 05:00,18.15
2024-09-11 06:00,18.11
2024-09-11 07:00,18.07
2024-09-11 08:00,18.03
2024-09-11 09:00,18.0
2024-09-11 10:00,17.96
2024-09-11 11:00,17.92
2024-09-11 12:00,17.88
2024-09-11 13:00,17.84
2024-09-11 14:00,17.8
2024-09-11 15:00,17.77
2024-09-11 16:00,17.73
2024-09-11 17:00,17.69
2024-09-11 18:00,17.65
2024-09-11 19:00,17.61
2024-09-11 20:00,17.57
2024-09-11 21:00,17.54
2024-09-11 22:00,17.5
2024-09-11 23:00,17.46
2024-09-12 00:00,17.42
2024-09-12 01:00,17.38
2024-09-12 02:00,17.34
2024-09-12 03:00,17.3
2024-09-12 04:00,17.27
2024-09-12 05:00,17.23
2024-09-12 06:00,17.19
2024-09-12 07:00,17.15
2024-09-12 08:00,17.11
2024-09-12 09:00,17.08
2024-09-12 10:00,17.04
2024-09-12 11:00,17.0
2024-09-12 12:00,16.96
2024-09-12 13:00,16.92
2024-09-12 14:00,16.88
2024-09-12 15:00,16.84
2024-09-12 16:00,16.81
2024-09-12 17:00,16.77
2024-09-12 18:00,16.73
2024-09-12 19:00,16.69
2024-09-12 20:00,16.65
2024-09-12 21:00,16.62
2024-09-12 22:00,16.58
2024-09-12 23:00,16.54
2024-09-13 00:00,16.5
2024-09-13 01:00,16.47
2024-09-13 02:00,16.44
2024-09-13 03:00,16.41
2024-09-13 04:00,16.38
2024-09-13 05:00,16.35
2024-09-13 06:00,16.32
2024-09-13 07:00,16.3
2024-09-13 08:00,16.27
2024-09-13 09:00,16.24
2024-09-13 10:00,16.21
2024-09-13 11:00,16.18
2024-09-13 12:00,16.15
