datetime,stage_m
1926-07-20 00:00,7.017
1926-07-20 01:00,7.014
1926-07-20 02:00,7.012
1926-07-20 03:00,7.01
1926-07-20 04:00,7.008
1926-07-20 05:00,7.006
1926-07-20 06:00,7.005
1926-07-20 07:00,7.003
1926-07-20 08:00,7.002
1926-07-20 09:00,7.001
1926-07-20 10:00,7.001
1926-07-20 11:00,7.0
1926-07-20 12:00,7.0
1926-07-20 13:00,7.0
1926-07-20 14:00,7.0
1926-07-20 15:00,7.0
1926-07-20 16:00,7.0
1926-07-20 17:00,7.0
1926-07-20 18:00,7.0
1926-07-20 19:00,7.0
1926-07-20 20:00,7.0
1926-07-20 21:00,7.0
1926-07-20 22:00,7.0
1926-07-20 23:00,7.0
1926-07-21 00:00,7.0
1926-07-21 01:00,7.0
1926-07-21 02:00,7.0
1926-07-21 03:00,7.0
1926-07-21 04:00,7.0
1926-07-21 05:00,7.0
1926-07-21 06:00,7.0
1926-07-21 07:00,7.0
1926-07-21 08:00,7.0
1926-07-21 09:00,7.0
1926-07-21 10:00,7.0
1926-07-21 11:00,7.0
1926-07-21 12:00,7.0
1926-07-21 13:00,7.0
1926-07-21 14:00,7.0
1926-07-21 15:00,7.001
1926-07-21 16:00,7.002
1926-07-21 17:00,7.003
1926-07-21 18:00,7.004
1926-07-21 19:00,7.005
1926-07-21 20:00,7.007
1926-07-21 21:00,7.008
1926-07-21 22:00,7.01
1926-07-21 23:00,7.012
1926-07-22 00:00,7.015
1926-07-22 01:00,7.017
1926-07-22 02:00,7.019
1926-07-22 03:00,7.022
1926-07-22 04:00,7.025
1926-07-22 05:00,7.028
1926-07-22 06:00,7.03
1926-07-22 07:00,7.034
1926-07-22 08:00,7.037
1926-07-22 09:00,7.04
1926-07-22 10:00,7.043
1926-07-22 11:00,7.047
1926-07-22 12:00,7.05
1926-07-22 13:00,7.054
1926-07-22 14:00,7.059
1926-07-22 15:00,7.064
1926-07-22 16:00,7.07
1926-07-22 17:00,7.077
1926-07-22 18:00,7.085
1926-07-22 19:00,7.094
1926-07-22 20:00,7.102
1926-07-22 21:00,7.112
1926-07-22 22:00,7.122
1926-07-22 23:00,7.133
1926-07-23 00:00,7.144
1926-07-23 01:00,7.155
1926-07-23 02:00,7.167
1926-07-23 03:00,7.179
1926-07-23 04:00,7.192
1926-07-23 05:00,7.205
1926-07-23 06:00,7.218
1926-07-23 07:00,7.231
1926-07-23 08:00,7.245
1926-07-23 09:00,7.258
1926-07-23 10:00,7.272
1926-07-23 11:00,7.286
1926-07-23 12:00,7.3
1926-07-23 13:00,7.314
1926-07-23 14:00,7.33
1926-07-23 15:00,7.346
1926-07-23 16:00,7.363
1926-07-23 17:00,7.381
1926-07-23 18:00,7.399
1926-07-23 19:00,7.419
1926-07-23 20:00,7.439
1926-07-23 21:00,7.459
1926-07-23 22:00,7.48
1926-07-23 23:00,7.502
1926-07-24 00:00,7.523
