Date,m3/s
10/7/2020 0:00,204.23
10/7/2020 1:00,351.85
10/7/2020 2:00,729.13
10/7/2020 3:00,1098.51
10/7/2020 4:00,1582.19
10/7/2020 5:00,1658.28
10/7/2020 6:00,1633.59
10/7/2020 7:00,1541.13
10/7/2020 8:00,1481.06
10/7/2020 9:00,1426.34
10/7/2020 10:00,1373.63
10/7/2020 11:00,1318.43
10/7/2020 12:00,1264.58
10/7/2020 13:00,1209.84
10/7/2020 14:00,1147.35
10/7/2020 15:00,1093.59
10/7/2020 16:00,1073.5
10/7/2020 17:00,1087.79
10/7/2020 18:00,1108.98
10/7/2020 19:00,1120.6
10/7/2020 20:00,1117.77
10/7/2020 21:00,1099.69
10/7/2020 22:00,1068.12
10/7/2020 23:00,1026.08
10/8/2020 0:00,987.5
10/8/2020 1:00,949.45
10/8/2020 2:00,915.72
10/8/2020 3:00,886.83
10/8/2020 4:00,867.7
10/8/2020 5:00,874.95
10/8/2020 6:00,930.58
10/8/2020 7:00,1024.12
10/8/2020 8:00,1142.82
10/8/2020 9:00,1271.59
10/8/2020 10:00,1425.36
10/8/2020 11:00,1588.89
10/8/2020 12:00,1716.95
10/8/2020 13:00,1777.4
10/8/2020 14:00,1794.87
10/8/2020 15:00,1762.37
10/8/2020 16:00,1702.54
10/8/2020 17:00,1601.41
10/8/2020 18:00,1520.66
10/8/2020 19:00,1459.44
10/8/2020 20:00,1424.59
10/8/2020 21:00,1422.83
10/8/2020 22:00,1448.24
10/8/2020 23:00,1496.05
