Date,m3/s
10/7/2020 0:00,10.23
10/7/2020 1:00,10.44
10/7/2020 2:00,11.18
10/7/2020 3:00,12.97
10/7/2020 4:00,16.61
10/7/2020 5:00,26.22
10/7/2020 6:00,43.54
10/7/2020 7:00,66.98
10/7/2020 8:00,93.68
10/7/2020 9:00,115.61
10/7/2020 10:00,148.78
10/7/2020 11:00,182.2
10/7/2020 12:00,201.77
10/7/2020 13:00,211.53
10/7/2020 14:00,214.55
10/7/2020 15:00,217.79
10/7/2020 16:00,222.08
10/7/2020 17:00,238.37
10/7/2020 18:00,253.01
10/7/2020 19:00,255.64
10/7/2020 20:00,249.73
10/7/2020 21:00,239.67
10/7/2020 22:00,251.07
10/7/2020 23:00,271.48
10/8/2020 0:00,301.28
10/8/2020 1:00,381.05
10/8/2020 2:00,443.22
10/8/2020 3:00,534.25
10/8/2020 4:00,765.23
10/8/2020 5:00,976.7
10/8/2020 6:00,1126.88
10/8/2020 7:00,1230.48
10/8/2020 8:00,1517.69
10/8/2020 9:00,1642.42
10/8/2020 10:00,1568.84
10/8/2020 11:00,1483.15
10/8/2020 12:00,1386.87
10/8/2020 13:00,1288.44
10/8/2020 14:00,1190.46
10/8/2020 15:00,1112.49
10/8/2020 16:00,1013
10/8/2020 17:00,906.24
10/8/2020 18:00,816.83
10/8/2020 19:00,743.84
10/8/2020 20:00,667.72
10/8/2020 21:00,637.48
10/8/2020 22:00,629.27
10/8/2020 23:00,739.01
