Date,m3/s
10/7/2020 0:00,275.45
10/7/2020 1:00,764.88
10/7/2020 2:00,1482.82
10/7/2020 3:00,2010
10/7/2020 4:00,2168.51
10/7/2020 5:00,2121.73
10/7/2020 6:00,1994
10/7/2020 7:00,1861.61
10/7/2020 8:00,1760.74
10/7/2020 9:00,1679.18
10/7/2020 10:00,1600.06
10/7/2020 11:00,1523.7
10/7/2020 12:00,1443.08
10/7/2020 13:00,1356.25
10/7/2020 14:00,1271.34
10/7/2020 15:00,1211.69
10/7/2020 16:00,1208.48
10/7/2020 17:00,1245.29
10/7/2020 18:00,1276.95
10/7/2020 19:00,1285.29
10/7/2020 20:00,1266.71
10/7/2020 21:00,1223.48
10/7/2020 22:00,1161.29
10/7/2020 23:00,1095.24
10/8/2020 0:00,1030.78
10/8/2020 1:00,975.31
10/8/2020 2:00,935.73
10/8/2020 3:00,913.91
10/8/2020 4:00,909.95
10/8/2020 5:00,957.46
10/8/2020 6:00,1060.02
10/8/2020 7:00,1198.63
10/8/2020 8:00,1356.43
10/8/2020 9:00,1543.29
10/8/2020 10:00,1740.39
10/8/2020 11:00,1922.12
10/8/2020 12:00,2082.58
10/8/2020 13:00,2177.87
10/8/2020 14:00,2185.56
10/8/2020 15:00,2119.3
10/8/2020 16:00,2011.53
10/8/2020 17:00,1881.1
10/8/2020 18:00,1746.83
10/8/2020 19:00,1620.91
10/8/2020 20:00,1517.06
10/8/2020 21:00,1440.62
10/8/2020 22:00,1413.96
10/8/2020 23:00,1441.88
